date,sales,promotions,holidays,economic_indicators
2021-04-09,200,0,0,94.672
2021-04-10,187,0,0,108.762
2021-04-11,175,1,0,91.831
2021-04-12,198,0,0,102.822
2021-04-13,174,0,0,114.248
2021-04-14,219,1,0,76.075
2021-04-15,211,0,0,96.588
2021-04-16,176,0,1,102.616
2021-04-17,210,0,0,82.08
2021-04-18,201,1,0,94.704
2021-04-19,245,1,0,110.445
2021-04-20,217,0,0,92.957
2021-04-21,180,0,0,85.157
2021-04-22,250,0,0,111.308
2021-04-23,167,0,0,104.445
2021-04-24,188,0,0,99.311
2021-04-25,221,0,0,99.016
2021-04-26,142,0,0,110.283
2021-04-27,236,1,0,102.945
2021-04-28,244,0,0,106.456
2021-04-29,241,0,0,93.074
2021-04-30,195,0,0,80.826
2021-05-01,198,0,0,106.219
2021-05-02,229,1,0,111.009
2021-05-03,206,0,1,97.754
2021-05-04,182,0,0,108.878
2021-05-05,220,1,0,96.648
2021-05-06,184,0,0,99.093
2021-05-07,211,0,0,117.524
2021-05-08,195,0,0,97.085
2021-05-09,168,0,0,96.494
2021-05-10,173,0,0,81.3
2021-05-11,201,0,0,106.901
2021-05-12,191,0,0,92.902
2021-05-13,198,1,0,101.472
2021-05-14,191,1,0,96.85
2021-05-15,186,0,0,95.542
2021-05-16,223,0,0,98.823
2021-05-17,155,1,0,99.591
2021-05-18,199,0,0,111.761
2021-05-19,197,0,0,115.202
2021-05-20,193,0,0,106.507
2021-05-21,200,0,0,112.716
2021-05-22,216,0,0,108.541
2021-05-23,192,0,0,104.946
2021-05-24,212,0,0,114.551
2021-05-25,205,0,0,86.915
2021-05-26,198,1,0,93.155
2021-05-27,174,0,0,91.791
2021-05-28,223,0,0,96.986
2021-05-29,214,0,0,106.859
2021-05-30,193,0,0,88.849
2021-05-31,161,0,1,105.028
2021-06-01,204,0,0,94.129
2021-06-02,206,0,0,96.529
2021-06-03,158,0,0,102.004
2021-06-04,185,0,0,116.812
2021-06-05,205,0,0,92.877
2021-06-06,164,0,1,99.199
2021-06-07,202,0,0,89.218
2021-06-08,212,1,0,92.781
2021-06-09,229,0,0,89.127
2021-06-10,184,0,0,102.448
2021-06-11,215,0,0,104.253
2021-06-12,165,0,0,106.87
2021-06-13,171,0,0,92.464
2021-06-14,205,0,0,105.079
2021-06-15,200,0,0,101.131
2021-06-16,203,1,0,99.422
2021-06-17,224,0,0,87.586
2021-06-18,196,0,0,101.533
2021-06-19,192,0,0,101.85
2021-06-20,207,0,0,101.017
2021-06-21,155,0,0,104.001
2021-06-22,216,1,0,106.946
2021-06-23,187,0,0,89.02
2021-06-24,231,1,0,97.833
2021-06-25,216,0,0,105.158
2021-06-26,183,0,0,97.316
2021-06-27,199,0,0,109.594
2021-06-28,205,0,0,100.902
2021-06-29,199,0,0,80.451
2021-06-30,165,0,0,108.394
2021-07-01,199,0,0,98.829
2021-07-02,184,0,0,82.303
2021-07-03,199,0,0,97.477
2021-07-04,202,0,0,87.316
2021-07-05,152,0,0,107.531
2021-07-06,190,0,0,99.642
2021-07-07,209,0,0,90.763
2021-07-08,198,0,0,108.108
2021-07-09,187,0,0,104.585
2021-07-10,168,1,0,97.642
2021-07-11,175,1,0,87.544
2021-07-12,168,0,0,91.575
2021-07-13,200,0,0,91.425
2021-07-14,198,0,0,107.465
2021-07-15,170,1,0,83.191
2021-07-16,166,0,0,99.528
2021-07-17,218,1,0,97.497
2021-07-18,207,1,0,110.355
2021-07-19,162,0,1,102.327
2021-07-20,195,0,0,105.352
2021-07-21,159,0,0,94.746
2021-07-22,203,0,0,87.69
2021-07-23,198,0,0,96.745
2021-07-24,214,0,0,107.772
2021-07-25,194,0,0,107.749
2021-07-26,241,0,0,95.694
2021-07-27,212,0,0,91.393
2021-07-28,201,1,0,89.433
2021-07-29,189,0,0,98.634
2021-07-30,178,0,0,101.366
2021-07-31,234,0,0,114.732
2021-08-01,240,0,1,101.233
2021-08-02,199,1,0,106.138
2021-08-03,178,0,0,92.195
2021-08-04,158,0,0,100.417
2021-08-05,230,0,0,101.401
2021-08-06,197,0,0,98.595
2021-08-07,232,0,0,99.782
2021-08-08,183,0,0,101.262
2021-08-09,226,0,1,104.81
2021-08-10,209,0,0,111.691
2021-08-11,209,0,0,77.345
2021-08-12,249,0,0,111.137
2021-08-13,204,0,0,82.892
2021-08-14,179,0,0,103.088
2021-08-15,183,0,0,123.556
2021-08-16,183,0,0,99.575
2021-08-17,187,1,0,101.8
2021-08-18,225,1,0,96.897
2021-08-19,207,0,0,106.673
2021-08-20,205,0,0,103.622
2021-08-21,184,0,0,93.24
2021-08-22,216,1,0,98.856
2021-08-23,217,0,0,88.816
2021-08-24,159,1,0,98.811
2021-08-25,181,0,0,95.806
2021-08-26,169,0,0,101.365
2021-08-27,233,0,1,92.901
2021-08-28,198,0,0,97.856
2021-08-29,200,0,0,100.088
2021-08-30,179,1,0,100.784
2021-08-31,183,0,0,102.743
2021-09-01,198,0,0,98.258
2021-09-02,206,0,0,92.133
2021-09-03,223,0,0,100.821
2021-09-04,162,0,0,98.211
2021-09-05,188,0,0,110.246
2021-09-06,151,0,0,111.507
2021-09-07,198,0,0,86.279
2021-09-08,180,0,0,106.172
2021-09-09,203,1,0,108.177
2021-09-10,134,0,0,86.542
2021-09-11,182,0,0,105.795
2021-09-12,221,0,0,108.96
2021-09-13,183,0,0,90.504
2021-09-14,151,0,0,97.637
2021-09-15,211,0,0,101.863
2021-09-16,159,0,0,105.705
2021-09-17,177,1,0,90.116
2021-09-18,215,0,0,111.57
2021-09-19,240,0,0,79.707
2021-09-20,170,0,0,113.237
2021-09-21,177,0,0,105.503
2021-09-22,185,0,0,93.782
2021-09-23,177,0,0,108.644
2021-09-24,249,0,0,89.522
2021-09-25,209,0,1,101.149
2021-09-26,192,0,0,102.385
2021-09-27,214,0,0,102.361
2021-09-28,211,0,0,91.603
2021-09-29,222,0,0,95.039
2021-09-30,189,0,0,101.267
2021-10-01,209,0,0,92.733
2021-10-02,161,1,0,102.715
2021-10-03,235,1,0,93.859
2021-10-04,227,0,0,110.0
2021-10-05,196,0,0,115.627
2021-10-06,210,0,0,97.025
2021-10-07,173,0,0,109.203
2021-10-08,169,0,0,97.877
2021-10-09,197,0,0,90.636
2021-10-10,223,0,0,95.743
2021-10-11,173,0,0,100.856
2021-10-12,220,0,0,82.13
2021-10-13,162,0,0,106.257
2021-10-14,205,0,0,100.86
2021-10-15,195,0,0,110.005
2021-10-16,168,0,0,106.081
2021-10-17,199,0,0,101.199
2021-10-18,236,0,0,96.442
2021-10-19,181,0,0,115.229
2021-10-20,189,0,0,121.699
2021-10-21,184,0,0,96.609
2021-10-22,160,0,0,110.423
2021-10-23,151,1,0,92.933
2021-10-24,223,0,0,94.123
2021-10-25,185,0,0,96.138
2021-10-26,216,0,0,106.847
2021-10-27,177,0,0,89.251
2021-10-28,238,0,0,115.5
2021-10-29,211,1,0,109.379
2021-10-30,211,1,0,106.615
2021-10-31,224,1,0,97.062
2021-11-01,183,0,0,108.295
2021-11-02,215,1,0,70.826
2021-11-03,227,1,0,104.409
2021-11-04,248,0,0,101.601
2021-11-05,188,0,0,81.138
2021-11-06,207,0,0,104.063
2021-11-07,221,0,0,105.909
2021-11-08,181,0,0,81.463
2021-11-09,215,1,0,88.132
2021-11-10,204,1,0,120.644
2021-11-11,172,1,0,98.136
2021-11-12,160,0,0,109.756
2021-11-13,208,0,0,111.268
2021-11-14,212,0,0,103.939
2021-11-15,202,0,0,110.172
2021-11-16,151,0,0,78.871
2021-11-17,173,0,0,97.695
2021-11-18,208,0,0,69.194
2021-11-19,204,0,0,82.539
2021-11-20,196,0,0,94.54
2021-11-21,186,1,0,93.346
2021-11-22,207,0,0,100.414
2021-11-23,181,0,0,99.793
2021-11-24,183,1,0,101.337
2021-11-25,189,0,0,101.747
2021-11-26,200,0,0,103.329
2021-11-27,200,0,0,90.41
2021-11-28,182,0,0,92.752
2021-11-29,214,0,0,99.631
2021-11-30,174,1,1,99.787
2021-12-01,163,0,0,89.181
2021-12-02,218,0,0,110.816
2021-12-03,207,0,0,107.248
2021-12-04,194,0,0,91.403
2021-12-05,218,0,0,97.916
2021-12-06,219,0,0,120.095
2021-12-07,173,0,0,101.606
2021-12-08,212,0,0,103.957
2021-12-09,157,0,0,93.911
2021-12-10,160,0,0,96.869
2021-12-11,207,0,1,115.113
2021-12-12,244,0,0,101.133
2021-12-13,203,0,0,99.291
2021-12-14,241,0,0,100.076
2021-12-15,221,1,0,125.454
2021-12-16,183,0,0,100.398
2021-12-17,171,1,1,91.699
2021-12-18,229,0,0,93.446
2021-12-19,203,1,0,107.808
2021-12-20,209,0,0,85.715
2021-12-21,144,0,0,104.506
2021-12-22,213,1,0,92.762
2021-12-23,179,0,0,81.412
2021-12-24,143,1,0,90.199
2021-12-25,200,0,0,100.275
2021-12-26,252,0,0,113.952
2021-12-27,258,0,0,109.133
2021-12-28,224,0,0,97.063
2021-12-29,171,0,0,109.722
2021-12-30,170,1,0,96.432
2021-12-31,221,0,0,85.335
2022-01-01,170,0,0,100.211
2022-01-02,226,0,0,84.941
2022-01-03,212,0,0,107.914
2022-01-04,198,0,0,108.059
2022-01-05,152,0,0,91.2
2022-01-06,187,0,1,101.456
2022-01-07,175,0,1,101.36
2022-01-08,171,1,0,108.72
2022-01-09,219,0,0,87.549
2022-01-10,238,0,0,105.995
2022-01-11,203,0,0,86.832
2022-01-12,184,0,0,107.772
2022-01-13,232,0,0,110.627
2022-01-14,200,0,0,93.304
2022-01-15,155,0,0,112.191
2022-01-16,208,1,0,84.26
2022-01-17,191,0,0,110.996
2022-01-18,181,0,0,114.385
2022-01-19,218,0,0,103.458
2022-01-20,190,0,0,98.045
2022-01-21,214,1,0,103.124
2022-01-22,181,0,0,93.962
2022-01-23,181,0,0,126.246
2022-01-24,210,0,0,94.135
2022-01-25,210,0,0,113.174
2022-01-26,207,0,0,92.588
2022-01-27,194,0,0,115.968
2022-01-28,193,0,0,120.123
2022-01-29,172,0,0,103.86
2022-01-30,192,0,0,102.867
2022-01-31,215,1,0,90.434
2022-02-01,153,0,0,89.243
2022-02-02,197,0,0,102.979
2022-02-03,261,1,0,114.582
2022-02-04,177,0,0,94.518
2022-02-05,195,0,0,122.079
2022-02-06,186,0,0,93.899
2022-02-07,192,0,0,102.294
2022-02-08,177,1,0,102.32
2022-02-09,198,0,0,98.985
2022-02-10,185,0,0,79.562
2022-02-11,244,0,0,93.809
2022-02-12,203,0,0,101.996
2022-02-13,153,0,0,99.04
2022-02-14,217,0,0,106.362
2022-02-15,193,0,0,107.568
2022-02-16,165,1,0,97.599
2022-02-17,189,1,0,90.376
2022-02-18,217,1,0,115.483
2022-02-19,141,0,0,86.445
2022-02-20,165,0,0,94.047
2022-02-21,181,0,0,91.5
2022-02-22,183,0,0,107.465
2022-02-23,203,0,0,113.17
2022-02-24,170,0,0,98.263
2022-02-25,198,0,0,102.298
2022-02-26,228,1,0,104.288
2022-02-27,177,0,0,118.04
2022-02-28,201,0,0,82.264
2022-03-01,227,0,0,107.442
2022-03-02,170,1,0,103.765
2022-03-03,219,1,0,96.292
2022-03-04,204,0,0,103.262
2022-03-05,192,0,0,107.408
2022-03-06,230,0,0,105.832
2022-03-07,177,0,0,121.585
2022-03-08,196,0,1,101.275
2022-03-09,199,0,0,100.269
2022-03-10,237,0,0,98.187
2022-03-11,167,0,0,105.53
2022-03-12,236,0,0,99.679
2022-03-13,192,0,0,100.132
2022-03-14,234,0,0,100.178
2022-03-15,190,0,0,98.654
2022-03-16,175,0,0,93.913
2022-03-17,232,0,0,104.181
2022-03-18,201,0,0,97.15
2022-03-19,228,1,0,106.137
2022-03-20,205,0,0,101.108
2022-03-21,151,1,0,96.134
2022-03-22,229,0,0,115.648
2022-03-23,211,0,0,98.977
2022-03-24,228,0,0,106.228
2022-03-25,192,0,0,93.0
2022-03-26,158,0,0,79.745
2022-03-27,239,0,0,94.33
2022-03-28,189,0,0,78.626
2022-03-29,196,0,0,97.631
2022-03-30,210,0,1,114.686
2022-03-31,175,1,1,90.947
2022-04-01,212,0,0,78.94
2022-04-02,234,1,0,115.003
2022-04-03,193,0,0,95.246
2022-04-04,221,0,0,99.843
2022-04-05,152,1,0,107.883
2022-04-06,210,0,0,105.232
2022-04-07,165,0,0,107.505
2022-04-08,240,0,0,109.004
2022-04-09,226,0,0,82.539
2022-04-10,168,0,0,85.857
2022-04-11,188,0,0,111.712
2022-04-12,210,1,0,92.183
2022-04-13,188,0,0,93.274
2022-04-14,227,0,0,87.372
2022-04-15,227,0,0,95.951
2022-04-16,229,1,0,96.507
2022-04-17,206,0,0,90.625
2022-04-18,212,1,0,89.469
2022-04-19,202,0,0,103.187
2022-04-20,206,0,0,91.923
2022-04-21,187,0,0,93.937
2022-04-22,223,1,0,78.137
2022-04-23,215,0,0,119.382
2022-04-24,188,0,0,109.418
2022-04-25,244,0,0,95.052
2022-04-26,235,0,0,91.009
2022-04-27,227,0,0,100.109
2022-04-28,166,1,0,99.835
2022-04-29,216,0,0,87.24
2022-04-30,200,1,1,74.495
2022-05-01,198,0,0,94.739
2022-05-02,237,0,0,84.366
2022-05-03,206,0,0,101.714
2022-05-04,237,0,0,101.781
2022-05-05,218,0,0,90.268
2022-05-06,185,1,0,94.654
2022-05-07,257,0,0,117.63
2022-05-08,235,1,0,107.751
2022-05-09,198,0,0,95.477
2022-05-10,198,1,0,122.92
2022-05-11,223,0,0,88.031
2022-05-12,174,0,0,91.873
2022-05-13,202,0,0,98.895
2022-05-14,194,0,0,84.69
2022-05-15,146,1,1,117.903
2022-05-16,191,0,0,101.832
2022-05-17,188,0,0,92.101
2022-05-18,220,0,0,104.478
2022-05-19,199,0,0,101.461
2022-05-20,205,0,0,96.953
2022-05-21,178,0,0,87.915
2022-05-22,228,0,0,85.638
2022-05-23,205,0,0,121.868
2022-05-24,179,0,0,86.473
2022-05-25,203,0,0,116.98
2022-05-26,184,0,0,91.552
2022-05-27,170,0,0,107.9
2022-05-28,178,0,0,104.654
2022-05-29,214,1,0,106.654
2022-05-30,206,1,0,107.32
2022-05-31,214,0,0,83.884
2022-06-01,227,0,0,93.237
2022-06-02,157,1,0,86.32
2022-06-03,212,0,0,101.893
2022-06-04,197,0,0,86.767
2022-06-05,219,0,0,80.19
2022-06-06,189,1,0,97.625
2022-06-07,205,1,0,77.909
2022-06-08,155,0,0,102.587
2022-06-09,181,1,0,87.424
2022-06-10,220,1,0,91.594
2022-06-11,208,0,0,77.196
2022-06-12,156,1,0,116.501
2022-06-13,237,1,0,85.371
2022-06-14,181,0,0,96.36
2022-06-15,231,0,0,82.083
2022-06-16,228,0,0,91.643
2022-06-17,181,0,1,117.518
2022-06-18,168,1,0,102.975
2022-06-19,200,0,0,92.764
2022-06-20,199,0,0,99.658
2022-06-21,192,1,0,94.394
2022-06-22,180,1,0,99.076
2022-06-23,174,0,0,107.439
2022-06-24,171,1,0,96.689
2022-06-25,217,0,0,102.2
2022-06-26,200,0,0,102.365
2022-06-27,209,0,0,96.739
2022-06-28,227,0,0,92.641
2022-06-29,199,0,0,94.748
2022-06-30,219,0,0,106.992
2022-07-01,183,0,0,107.824
2022-07-02,194,1,0,88.622
2022-07-03,183,0,0,97.39
2022-07-04,192,0,0,92.471
2022-07-05,192,1,0,108.0
2022-07-06,192,0,0,95.288
2022-07-07,181,0,0,122.009
2022-07-08,201,0,0,102.179
2022-07-09,212,1,1,111.82
2022-07-10,216,1,0,89.854
2022-07-11,205,0,0,100.117
2022-07-12,237,0,0,106.162
2022-07-13,243,0,0,89.667
2022-07-14,214,1,0,100.203
2022-07-15,234,0,0,110.519
2022-07-16,241,0,0,96.725
2022-07-17,213,0,0,91.482
2022-07-18,184,0,0,118.03
2022-07-19,220,1,0,88.283
2022-07-20,186,0,0,101.559
2022-07-21,208,1,0,92.917
2022-07-22,235,0,0,90.632
2022-07-23,170,0,0,107.417
2022-07-24,230,0,0,97.945
2022-07-25,181,0,0,104.059
2022-07-26,262,0,0,77.449
2022-07-27,185,1,0,105.031
2022-07-28,213,0,0,92.794
2022-07-29,199,1,0,81.211
2022-07-30,174,0,0,118.847
2022-07-31,230,0,0,106.01
2022-08-01,183,0,0,102.273
2022-08-02,203,1,0,112.494
2022-08-03,216,0,0,102.476
2022-08-04,199,0,0,92.014
2022-08-05,210,0,0,98.25
2022-08-06,182,0,0,93.216
2022-08-07,198,0,0,94.996
2022-08-08,203,0,0,87.423
2022-08-09,177,0,0,90.3
2022-08-10,169,0,0,108.946
2022-08-11,243,0,0,103.321
2022-08-12,208,1,0,94.97
2022-08-13,185,0,0,89.72
2022-08-14,216,0,0,95.946
2022-08-15,204,0,0,83.162
2022-08-16,235,1,0,101.266
2022-08-17,195,0,0,109.455
2022-08-18,181,0,0,123.67
2022-08-19,199,1,0,88.967
2022-08-20,175,1,0,109.038
2022-08-21,219,1,0,92.928
2022-08-22,238,1,0,88.715
2022-08-23,191,1,0,88.711
2022-08-24,225,0,0,101.407
2022-08-25,161,0,0,90.692
2022-08-26,185,1,0,93.932
2022-08-27,192,1,0,95.596
2022-08-28,207,0,0,92.6
2022-08-29,212,0,0,91.874
2022-08-30,149,0,0,75.708
2022-08-31,168,1,1,100.87
2022-09-01,213,0,0,100.677
2022-09-02,252,0,0,92.027
2022-09-03,212,0,0,103.604
2022-09-04,207,1,0,113.969
2022-09-05,213,0,0,100.236
2022-09-06,218,0,0,113.303
2022-09-07,160,0,0,122.381
2022-09-08,195,0,0,125.305
2022-09-09,196,0,0,88.118
2022-09-10,226,0,0,88.169
2022-09-11,217,0,0,95.556
2022-09-12,202,0,0,101.287
2022-09-13,224,0,0,115.867
2022-09-14,209,0,0,106.272
2022-09-15,222,1,0,87.967
2022-09-16,167,0,0,93.883
2022-09-17,181,0,0,99.58
2022-09-18,214,0,0,85.108
2022-09-19,243,0,0,100.137
2022-09-20,227,0,0,88.116
2022-09-21,160,0,0,83.493
2022-09-22,192,0,0,90.53
2022-09-23,190,0,0,104.11
2022-09-24,162,0,0,104.041
2022-09-25,227,1,0,100.967
2022-09-26,183,0,0,109.916
2022-09-27,226,0,0,108.856
2022-09-28,214,0,0,102.044
2022-09-29,181,0,1,100.664
2022-09-30,237,0,0,101.295
2022-10-01,200,0,0,98.524
2022-10-02,180,1,0,78.257
2022-10-03,186,0,0,111.355
2022-10-04,221,0,0,103.975
2022-10-05,255,0,0,87.837
2022-10-06,175,0,0,114.278
2022-10-07,240,0,0,94.1
2022-10-08,188,0,0,98.922
2022-10-09,155,0,0,110.236
2022-10-10,193,1,0,102.201
2022-10-11,200,0,0,113.354
2022-10-12,207,0,0,96.479
2022-10-13,208,0,1,116.912
2022-10-14,196,0,0,92.222
2022-10-15,175,0,0,113.176
2022-10-16,152,1,0,77.349
2022-10-17,151,0,0,88.998
2022-10-18,169,0,0,102.98
2022-10-19,187,0,1,95.996
2022-10-20,236,0,0,99.253
2022-10-21,199,0,0,100.417
2022-10-22,221,0,0,88.091
2022-10-23,160,0,0,88.841
2022-10-24,179,0,0,102.321
2022-10-25,224,0,0,93.337
2022-10-26,198,1,0,113.41
2022-10-27,173,0,0,98.081
2022-10-28,207,1,0,107.188
2022-10-29,217,0,0,104.429
2022-10-30,172,0,0,93.988
2022-10-31,158,0,0,80.197
2022-11-01,207,1,0,111.849
2022-11-02,177,1,0,90.211
2022-11-03,238,0,0,95.962
2022-11-04,191,1,0,98.492
2022-11-05,220,0,0,99.49
2022-11-06,173,0,0,109.62
2022-11-07,214,0,0,100.058
2022-11-08,179,0,0,98.726
2022-11-09,191,0,0,110.185
2022-11-10,168,0,0,106.007
2022-11-11,199,0,0,92.644
2022-11-12,193,0,0,88.528
2022-11-13,228,0,0,91.763
2022-11-14,198,0,0,99.508
2022-11-15,224,0,0,87.539
2022-11-16,218,0,0,100.908
2022-11-17,190,1,0,98.708
2022-11-18,247,1,0,74.575
2022-11-19,219,0,0,85.938
2022-11-20,234,0,0,71.142
2022-11-21,196,0,0,96.561
2022-11-22,186,0,0,110.74
2022-11-23,156,0,0,81.093
2022-11-24,178,1,0,86.777
2022-11-25,222,1,0,98.363
2022-11-26,241,1,0,89.362
2022-11-27,187,0,1,89.313
2022-11-28,201,0,0,105.416
2022-11-29,206,0,0,95.051
2022-11-30,179,0,0,85.133
2022-12-01,227,0,0,79.123
2022-12-02,221,0,0,122.084
2022-12-03,209,0,0,111.283
2022-12-04,209,0,0,95.484
2022-12-05,176,0,1,100.879
2022-12-06,111,0,0,95.115
2022-12-07,246,0,0,105.105
2022-12-08,194,0,0,91.458
2022-12-09,169,0,0,94.568
2022-12-10,185,0,0,104.554
2022-12-11,203,0,0,114.539
2022-12-12,191,0,0,107.414
2022-12-13,185,1,0,112.339
2022-12-14,210,0,0,96.876
2022-12-15,189,1,0,93.77
2022-12-16,177,0,0,80.616
2022-12-17,166,0,0,100.722
2022-12-18,179,0,0,103.79
2022-12-19,229,0,0,97.0
2022-12-20,224,0,0,92.233
2022-12-21,200,0,0,112.434
2022-12-22,161,1,0,106.318
2022-12-23,212,0,1,113.128
2022-12-24,211,0,0,90.464
2022-12-25,185,0,0,92.918
2022-12-26,229,0,0,112.032
2022-12-27,199,0,1,99.527
2022-12-28,185,0,0,94.309
2022-12-29,189,0,0,95.005
2022-12-30,221,0,0,99.889
2022-12-31,176,1,1,110.03
2023-01-01,185,0,0,98.395
2023-01-02,233,0,0,107.905
2023-01-03,260,0,0,104.674
2023-01-04,147,0,0,91.217
2023-01-05,224,1,0,91.209
2023-01-06,164,0,0,95.497
2023-01-07,216,1,0,86.632
2023-01-08,164,0,0,94.859
2023-01-09,186,0,0,115.134
2023-01-10,182,0,0,99.686
2023-01-11,152,1,0,92.335
2023-01-12,222,1,0,119.157
2023-01-13,221,0,0,90.694
2023-01-14,207,0,0,90.381
2023-01-15,214,0,0,112.295
2023-01-16,217,0,0,106.613
2023-01-17,203,0,0,98.699
2023-01-18,175,0,0,108.319
2023-01-19,211,0,0,103.006
2023-01-20,186,0,0,88.138
2023-01-21,231,1,0,76.024
2023-01-22,224,1,0,94.327
2023-01-23,174,0,0,110.849
2023-01-24,221,1,0,95.715
2023-01-25,177,0,0,104.601
2023-01-26,204,1,1,101.845
2023-01-27,179,0,0,83.065
2023-01-28,212,0,0,95.936
2023-01-29,236,0,0,103.589
2023-01-30,209,1,0,92.129
2023-01-31,236,1,0,96.375
2023-02-01,196,0,0,103.917
2023-02-02,188,0,0,100.726
2023-02-03,182,0,0,110.469
2023-02-04,212,1,0,103.837
2023-02-05,201,0,1,90.442
2023-02-06,239,0,0,95.225
2023-02-07,172,0,0,100.203
2023-02-08,191,0,0,113.384
2023-02-09,176,0,0,95.265
2023-02-10,227,1,0,82.674
2023-02-11,184,0,0,104.406
2023-02-12,223,0,0,92.444
2023-02-13,202,1,0,87.147
2023-02-14,191,0,0,100.188
2023-02-15,215,0,0,109.729
2023-02-16,224,0,0,94.261
2023-02-17,183,0,0,104.966
2023-02-18,206,0,0,106.819
2023-02-19,185,1,1,107.918
2023-02-20,149,0,0,92.677
2023-02-21,204,0,0,88.789
2023-02-22,181,0,0,90.152
2023-02-23,201,0,0,107.91
2023-02-24,207,0,0,106.674
2023-02-25,161,0,0,90.428
2023-02-26,186,1,0,121.326
2023-02-27,172,0,0,89.236
2023-02-28,202,0,0,109.995
2023-03-01,191,0,0,115.197
2023-03-02,236,0,0,101.098
2023-03-03,210,0,0,92.303
2023-03-04,186,0,0,92.521
2023-03-05,210,1,0,97.379
2023-03-06,218,0,0,110.809
2023-03-07,218,0,0,88.001
2023-03-08,178,1,0,81.612
2023-03-09,171,0,0,103.621
2023-03-10,159,0,0,105.816
2023-03-11,200,0,0,119.68
2023-03-12,172,1,0,86.177
2023-03-13,248,1,0,98.652
2023-03-14,178,0,0,111.618
2023-03-15,195,0,0,101.209
2023-03-16,232,0,0,98.046
2023-03-17,203,0,0,107.899
2023-03-18,197,0,0,94.006
2023-03-19,169,0,0,108.514
2023-03-20,208,1,0,87.464
2023-03-21,221,0,0,84.806
2023-03-22,182,0,0,97.264
2023-03-23,193,1,0,74.367
2023-03-24,239,0,0,100.847
2023-03-25,212,0,0,82.674
2023-03-26,209,1,0,102.824
2023-03-27,189,0,0,101.855
2023-03-28,179,0,0,99.32
2023-03-29,203,0,0,104.364
2023-03-30,189,0,0,102.042
2023-03-31,221,0,0,97.07
2023-04-01,174,0,0,118.31
