Category,Sub-Category,Profit per Order,Quantity,Sales,Sales per Customer
Office Supplies,Paper,11.72,4,24,23.92
Technology,Accessories,-26.88,6,239,238.9
Furniture,Furnishings,-3.84,3,102,102.36
Office Supplies,Binders,-25.82,3,37,36.88
Technology,Accessories,17.6,8,74,74.11
Technology,Phones,2.1,1,28,27.99
Office Supplies,Art,1.07,1,3,3.3
Technology,Accessories,67.99,5,340,339.96
Furniture,Furnishings,10.91,2,42,41.96
Office Supplies,Art,22.79,2,76,75.96
Office Supplies,Binders,13.35,6,27,27.24
Office Supplies,Fasteners,14.53,14,40,40.1
Office Supplies,Envelopes,1.65,2,5,4.72
Office Supplies,Paper,7.49,3,24,23.98
Office Supplies,Envelopes,44.03,6,130,130.46
Furniture,Tables,165.38,3,788,787.53
Office Supplies,Binders,-115.72,1,158,157.79
Furniture,Furnishings,18.35,3,47,47.04
Office Supplies,Binders,13.88,4,31,30.84
Office Supplies,Storage,63.44,6,227,226.56
Office Supplies,Envelopes,51.76,9,115,115.02
Technology,Phones,19.73,7,68,68.04
Furniture,Chairs,-8.58,3,601,600.56
Furniture,Tables,-407.68,6,618,617.7
Office Supplies,Binders,-1.83,2,2,2.39
Office Supplies,Storage,30.5,7,244,243.99
Furniture,Chairs,-9.16,2,81,81.42
Furniture,Furnishings,26.24,3,239,238.56
Technology,Phones,-11.99,5,60,59.97
Office Supplies,Paper,29.36,2,78,78.3
Office Supplies,Fasteners,6.97,9,21,21.46
Office Supplies,Paper,9.62,3,20,20.04
Office Supplies,Paper,16.66,1,35,35.44
Office Supplies,Art,3.46,4,12,11.52
Office Supplies,Fasteners,1.97,2,4,4.02
Office Supplies,Binders,26.66,3,76,76.18
Office Supplies,Supplies,18.45,6,66,65.88
Furniture,Furnishings,20.7,14,43,43.12
Furniture,Furnishings,10.35,2,83,82.8
Office Supplies,Art,2.38,3,9,8.82
Office Supplies,Envelopes,5.1,3,11,10.86
Office Supplies,Paper,68.98,3,144,143.7
Office Supplies,Appliances,218.25,3,839,839.43
Office Supplies,Storage,20.16,7,672,671.93
Furniture,Furnishings,12.91,4,94,93.89
Technology,Phones,103.8,11,384,384.45
Technology,Phones,6,3,150,149.97
Furniture,Chairs,585.55,8,1952,1951.84
Office Supplies,Binders,80.63,5,172,171.55
Office Supplies,Appliances,17.77,5,158,157.92
Technology,Phones,15.24,2,203,203.18
Office Supplies,Paper,26.27,7,58,58.38
Office Supplies,Paper,48.54,4,106,105.52
Office Supplies,Storage,21.03,6,81,80.88
Office Supplies,Art,1.79,3,7,6.63
Furniture,Chairs,51.48,2,458,457.57
Office Supplies,Labels,6.87,2,15,14.62
Technology,Phones,236.23,7,945,944.93
Office Supplies,Paper,2.69,1,6,5.98
Technology,Accessories,1.36,2,54,54.38
Office Supplies,Envelopes,13.35,5,28,28.4
Office Supplies,Binders,9.69,2,28,27.68
Office Supplies,Art,2.73,3,10,9.94
Technology,Machines,-1359.99,8,8160,8159.95
Office Supplies,Storage,-58.63,3,276,275.93
Furniture,Chairs,-24.86,9,1740,1740.06
Office Supplies,Art,6.81,6,32,32.06
Office Supplies,Appliances,-453.85,5,178,177.98
Technology,Phones,9,3,144,143.98
Office Supplies,Paper,9.84,3,21,20.94
Office Supplies,Paper,53.26,2,111,110.96
Furniture,Chairs,21.26,7,340,340.14
Office Supplies,Appliances,-131.12,2,52,52.45
Office Supplies,Labels,6.55,4,20,20.16
Office Supplies,Appliances,-243.16,4,97,97.26
Furniture,Chairs,-11.34,7,397,396.8
Office Supplies,Supplies,-3.77,5,16,15.88
Office Supplies,Art,1.41,1,3,3.28
Office Supplies,Storage,1.86,2,25,24.82
Technology,Accessories,76.64,7,409,408.74
Technology,Phones,131.03,4,504,503.96
Technology,Phones,41.99,5,150,149.95
Technology,Accessories,7.25,2,29,29
Office Supplies,Binders,3.44,2,7,7.16
Technology,Accessories,22.98,8,177,176.8
Office Supplies,Storage,3.72,3,37,37.22
Office Supplies,Paper,6.25,3,20,20.02
Furniture,Bookcases,112.39,4,899,899.14
Technology,Phones,20.09,6,72,71.76
Office Supplies,Paper,24.88,8,52,51.84
Furniture,Bookcases,46.98,3,626,626.35
Office Supplies,Art,6.57,5,20,19.9
Office Supplies,Envelopes,6.71,7,14,14.28
Office Supplies,Art,1.2,2,7,7.41
Office Supplies,Art,1.59,3,6,6.05
Office Supplies,Storage,12.03,3,46,46.26
Office Supplies,Binders,-2.26,2,3,2.95
Office Supplies,Paper,5.82,3,16,16.06
Office Supplies,Paper,6.79,3,22,21.74
Furniture,Tables,-161.88,2,219,218.75
Office Supplies,Appliances,0.29,1,3,2.6
Office Supplies,Appliances,-178.97,2,66,66.28
Furniture,Furnishings,9.67,7,35,35.17
Technology,Phones,44.48,4,445,444.77
Office Supplies,Storage,5.87,4,84,83.92
Technology,Phones,35.63,2,132,131.98
Office Supplies,Binders,7.48,4,16,15.92
Office Supplies,Fasteners,16.21,9,52,52.29
Office Supplies,Storage,3.68,1,92,91.99
Technology,Accessories,6.5,2,21,20.8
Office Supplies,Labels,8.88,2,24,23.68
Furniture,Bookcases,-244.32,5,452,452.45
Technology,Phones,-14.7,3,63,62.98
Technology,Machines,-950.4,9,1188,1188
Technology,Accessories,4.48,2,90,89.58
Office Supplies,Storage,26.06,6,93,93.06
Technology,Phones,22.68,3,302,302.38
Office Supplies,Fasteners,1.81,2,6,5.58
Office Supplies,Paper,8.23,6,23,22.7
Office Supplies,Binders,-13.84,4,20,19.78
Furniture,Furnishings,19.08,4,73,72.7
Technology,Machines,-383.99,4,480,479.99
Office Supplies,Art,2.72,2,27,27.17
Office Supplies,Art,0.97,1,2,2.2
Furniture,Tables,136.94,5,622,622.45
Office Supplies,Storage,0.22,1,22,21.98
Furniture,Chairs,-28.27,2,162,161.57
Furniture,Chairs,43.84,8,390,389.7
Office Supplies,Binders,-12.43,7,19,18.65
Furniture,Tables,-102.05,2,234,233.86
Furniture,Tables,-248.25,3,621,620.61
Office Supplies,Binders,-3.55,2,5,5.33
Furniture,Furnishings,0,3,258,258.07
Technology,Accessories,-7.72,3,618,617.98
Office Supplies,Paper,4.75,2,11,10.56
Office Supplies,Paper,9.4,5,26,25.92
Furniture,Furnishings,-356.73,5,420,419.68
Furniture,Furnishings,-4.68,3,12,11.69
Technology,Phones,11.19,2,32,31.98
Furniture,Tables,-120.51,5,177,177.22
Furniture,Furnishings,-2.83,3,4,4.04
Office Supplies,Art,1.2,2,7,7.41
Furniture,Chairs,580.54,7,2002,2001.86
Office Supplies,Storage,41.68,2,167,166.72
Office Supplies,Paper,23.94,6,48,47.88
Office Supplies,Appliances,496.07,5,1503,1503.25
Office Supplies,Paper,12.44,4,26,25.92
Furniture,Chairs,28.14,2,322,321.57
Office Supplies,Paper,3.58,1,8,7.61
Technology,Accessories,636,13,3347,3347.37
Office Supplies,Storage,22.56,6,81,80.58
Office Supplies,Envelopes,162.86,4,362,361.92
Furniture,Furnishings,-8.49,9,12,12.13
Office Supplies,Storage,-19.56,2,82,82.37
Office Supplies,Storage,4.04,5,54,53.92
Technology,Phones,56.69,6,648,647.9
Technology,Accessories,6.93,3,20,20.37
Office Supplies,Storage,6.65,3,222,221.55
Office Supplies,Binders,6.13,5,18,17.52
Office Supplies,Appliances,-4.47,2,2,1.62
Technology,Machines,-510,3,3060,3059.98
Technology,Machines,-252,7,2520,2519.96
Technology,Phones,28.72,4,328,328.22
Technology,Accessories,35.16,2,80,79.9
Office Supplies,Art,4.73,3,14,14.02
Office Supplies,Fasteners,0.3,6,8,7.56
Office Supplies,Storage,-7.44,1,37,37.21
Office Supplies,Envelopes,21.59,3,58,57.58
Office Supplies,Storage,210.49,4,726,725.84
Technology,Accessories,92.37,7,210,209.93
Furniture,Furnishings,2.32,3,5,5.28
Office Supplies,Binders,4.09,3,11,10.92
Office Supplies,Paper,4.06,2,9,8.82
Office Supplies,Art,1.55,1,6,5.98
Office Supplies,Paper,4.08,2,12,11.65
Office Supplies,Paper,5.91,4,18,18.18
Office Supplies,Storage,5.97,6,60,59.71
Office Supplies,Labels,8.69,3,25,24.84
Office Supplies,Binders,-3.43,5,2,2.08
Technology,Phones,376.11,7,1114,1114.4
Furniture,Tables,51.94,5,1039,1038.84
Office Supplies,Paper,47.84,5,142,141.76
Technology,Accessories,47.96,5,240,239.8
Office Supplies,Paper,10.89,6,31,31.1
Office Supplies,Binders,-169.37,7,254,254.06
Office Supplies,Appliances,24.32,2,195,194.53
Office Supplies,Supplies,-204.31,5,961,961.48
Office Supplies,Fasteners,6.68,7,19,19.1
Office Supplies,Labels,6.24,8,18,18.5
Technology,Accessories,54.4,2,256,255.98
Furniture,Bookcases,-48.7,3,87,86.97
Furniture,Furnishings,78.86,8,300,300.42
Furniture,Chairs,20.16,3,230,230.35
Furniture,Furnishings,-24.56,3,218,218.35
Office Supplies,Binders,-62.88,5,79,78.6
Office Supplies,Fasteners,9.3,3,28,27.55
Office Supplies,Paper,15.55,5,32,32.4
Office Supplies,Storage,10.82,8,1082,1082.48
Office Supplies,Paper,27.32,3,57,56.91
Furniture,Furnishings,38.02,4,78,77.6
Office Supplies,Binders,6.57,1,14,14.28
Furniture,Tables,-131.45,3,219,219.08
Furniture,Furnishings,12.86,2,27,26.8
Office Supplies,Art,2.85,3,10,9.84
Office Supplies,Binders,20.92,3,45,45.48
Office Supplies,Art,83.87,6,289,289.2
Office Supplies,Art,2,1,5,4.89
Furniture,Furnishings,3.59,4,15,15.14
Furniture,Chairs,52.51,2,467,466.77
Furniture,Furnishings,1.71,1,15,15.23
Office Supplies,Labels,2.04,3,6,6.26
Furniture,Furnishings,37.64,3,88,87.54
Technology,Phones,22.3,2,178,178.38
Office Supplies,Paper,5.44,3,16,15.55
Office Supplies,Art,8.67,4,99,99.14
Furniture,Chairs,24.16,1,136,135.88
Technology,Machines,1995.99,2,3992,3991.98
Technology,Phones,80.02,6,276,275.94
Technology,Accessories,129.6,4,360,360
Office Supplies,Storage,13.07,1,44,43.57
Office Supplies,Fasteners,3.58,2,7,7.16
Office Supplies,Binders,81.74,6,252,251.52
Technology,Accessories,35,1,100,99.99
Furniture,Furnishings,1,1,16,15.99
Technology,Phones,-67.88,3,291,290.9
Office Supplies,Storage,3.39,2,54,54.22
Furniture,Chairs,-258.5,4,787,786.74
Office Supplies,Labels,33.83,10,100,100.24
Office Supplies,Binders,-27.69,6,38,37.76
Technology,Phones,-20.7,2,83,82.8
Office Supplies,Binders,-13.82,2,21,20.72
Office Supplies,Binders,-3.43,3,5,4.9
Office Supplies,Binders,1.6,1,5,4.75
Technology,Copiers,335.99,2,960,959.98
Office Supplies,Binders,4.49,4,14,14.37
Office Supplies,Binders,2.8,2,8,7.71
Furniture,Tables,-17.46,3,698,698.35
Office Supplies,Fasteners,2.33,4,5,4.96
Office Supplies,Art,1.12,4,18,17.86
Office Supplies,Binders,-407.98,10,510,509.97
Office Supplies,Fasteners,10.07,13,31,30.99
Technology,Phones,8.39,12,72,71.93
Office Supplies,Storage,-2.22,4,89,88.8
Technology,Phones,4.8,3,48,47.98
Office Supplies,Art,3.1,3,8,7.56
Office Supplies,Paper,11.54,2,25,24.56
Office Supplies,Art,4.15,2,13,12.96
Technology,Accessories,2.31,1,7,6.79
Office Supplies,Paper,11.54,2,25,24.56
Office Supplies,Binders,1.07,1,3,3.05
Office Supplies,Binders,1415.43,4,4355,4355.17
Furniture,Bookcases,-4.86,6,389,388.7
Office Supplies,Envelopes,3.8,2,8,8.26
Office Supplies,Art,6.99,4,17,17.04
Office Supplies,Paper,15.82,5,34,34.4
Office Supplies,Paper,11.32,5,36,36.24
Office Supplies,Appliances,168.44,8,648,647.84
Office Supplies,Labels,9.94,2,21,20.7
Office Supplies,Labels,9.94,2,21,20.7
Furniture,Chairs,86.87,3,489,488.65
Office Supplies,Art,1.45,2,6,5.56
Furniture,Furnishings,20.73,8,47,47.12
Office Supplies,Storage,8.48,4,212,211.96
Office Supplies,Binders,10.44,4,23,23.2
Office Supplies,Supplies,0.15,2,7,7.36
Office Supplies,Storage,29.34,7,105,104.79
Furniture,Bookcases,271.42,4,1044,1043.92
Office Supplies,Paper,9.4,5,26,25.92
Office Supplies,Storage,4.67,3,53,53.42
Office Supplies,Binders,-5.71,5,8,8.16
Technology,Accessories,179.19,8,1024,1023.94
Office Supplies,Art,0.92,1,9,9.24
Technology,Accessories,-29.94,10,479,479.04
Office Supplies,Paper,30.98,4,99,99.14
Furniture,Tables,-297.68,7,1488,1488.42
Office Supplies,Appliances,-20.33,3,9,8.65
Office Supplies,Storage,2.68,3,24,23.83
Office Supplies,Binders,-18.87,4,12,12.18
Office Supplies,Paper,25.48,7,51,50.96
Office Supplies,Binders,17.34,3,50,49.54
Technology,Accessories,8.8,2,42,41.9
Furniture,Tables,-157.01,3,375,375.46
Technology,Accessories,-1.05,3,84,83.98
Technology,Machines,-337.64,4,482,482.34
Furniture,Furnishings,0.78,1,3,2.96
Office Supplies,Art,0.43,1,3,2.62
Office Supplies,Binders,7.88,4,23,23.36
Technology,Accessories,13.59,2,40,39.98
Technology,Phones,27.72,2,246,246.38
Technology,Copiers,701.99,3,1800,1799.97
Office Supplies,Binders,-20.56,3,12,12.46
Office Supplies,Binders,25.58,3,76,75.79
Office Supplies,Storage,9.49,2,50,49.96
Office Supplies,Paper,6.22,2,13,12.96
Office Supplies,Supplies,21.04,4,70,70.12
Office Supplies,Storage,3.6,3,36,35.95
Furniture,Bookcases,-317.15,4,2396,2396.27
Office Supplies,Storage,-32.78,4,131,131.14
Technology,Accessories,0.72,2,58,57.58
Office Supplies,Paper,3.47,2,10,9.57
Office Supplies,Art,9.77,6,39,39.07
Office Supplies,Appliances,9.7,3,36,35.91
Technology,Accessories,37.79,5,180,179.95
Technology,Copiers,434.99,3,1200,1199.98
Office Supplies,Paper,13.3,5,27,27.15
Furniture,Tables,-112.95,7,1004,1004.02
Office Supplies,Paper,4.65,1,10,9.68
Office Supplies,Labels,13.61,9,28,28.35
Office Supplies,Paper,27.43,1,56,55.98
Furniture,Bookcases,31.45,17,1337,1336.83
Furniture,Chairs,-18.45,2,114,113.57
Office Supplies,Paper,65.73,7,140,139.86
Furniture,Chairs,26.87,4,307,307.14
Office Supplies,Art,25.9,8,96,95.92
Furniture,Chairs,38.38,5,384,383.8
Office Supplies,Paper,2.83,1,6,5.78
Office Supplies,Art,2.7,4,9,9.32
Office Supplies,Envelopes,7.01,1,15,15.25
Technology,Accessories,56.57,6,197,196.75
Furniture,Furnishings,14.71,4,57,56.56
Office Supplies,Storage,8.5,3,33,32.7
Furniture,Chairs,225.26,4,866,866.4
Furniture,Furnishings,11.08,2,28,28.4
Office Supplies,Binders,138.2,8,288,287.92
Technology,Machines,30.1,1,70,69.99
Office Supplies,Art,0.5,6,7,6.67
Office Supplies,Binders,-145.35,2,190,189.59
Technology,Accessories,76.64,7,409,408.74
Office Supplies,Storage,-0.77,2,5,4.77
Office Supplies,Storage,207.15,5,714,714.3
Office Supplies,Binders,-3.69,2,5,4.81
Technology,Accessories,-18.58,5,248,247.8
Technology,Machines,43.2,3,1008,1007.98
Office Supplies,Paper,113.64,7,313,313.49
Office Supplies,Paper,11.55,8,32,31.87
Furniture,Chairs,2.31,3,208,207.85
Furniture,Furnishings,3.67,1,12,12.22
Office Supplies,Storage,23.39,3,195,194.94
Office Supplies,Storage,20.58,3,71,70.95
Office Supplies,Paper,42.03,4,91,91.36
Furniture,Chairs,29.15,3,243,242.94
Office Supplies,Labels,10.58,7,22,22.05
Furniture,Furnishings,1.37,1,3,2.91
Office Supplies,Art,15.48,3,60,59.52
Office Supplies,Storage,9.72,3,162,161.94
Office Supplies,Art,71.25,6,264,263.88
Office Supplies,Art,7.92,3,30,30.48
Office Supplies,Art,2.85,3,10,9.84
Technology,Phones,9.13,4,35,35.12
Furniture,Tables,-75.83,2,284,284.36
Office Supplies,Storage,66.54,2,665,665.41
Technology,Accessories,24.91,4,64,63.88
Furniture,Chairs,-24.29,2,130,129.57
Furniture,Chairs,-96.11,3,748,747.56
Office Supplies,Envelopes,3.35,2,9,8.93
Office Supplies,Appliances,36.37,4,104,103.92
Technology,Accessories,377.96,9,900,899.91
Office Supplies,Binders,18.6,3,51,51.31
Furniture,Furnishings,7.07,5,24,23.56
Furniture,Tables,-814.48,6,1273,1272.63
Office Supplies,Binders,-20.89,5,28,28.48
Office Supplies,Supplies,-34.76,2,185,185.38
Office Supplies,Appliances,5.87,2,78,78.27
Furniture,Furnishings,-312.06,7,255,254.74
Furniture,Bookcases,-36.24,2,205,205.33
Office Supplies,Binders,-7.9,3,5,4.79
Office Supplies,Paper,26.63,1,55,55.48
Office Supplies,Storage,3.41,3,341,340.92
Furniture,Bookcases,10.48,2,223,222.67
Technology,Phones,88,4,704,703.97
Office Supplies,Storage,24.98,6,93,92.52
Office Supplies,Paper,28.82,7,63,62.65
Office Supplies,Paper,45.53,5,95,94.85
Technology,Phones,7.18,6,96,95.76
Furniture,Furnishings,19.3,3,40,40.2
Office Supplies,Art,6.62,5,15,14.7
Office Supplies,Storage,84.51,5,704,704.25
Technology,Accessories,1.91,3,9,9.09
Office Supplies,Art,1.67,2,6,5.96
Technology,Accessories,57.59,2,160,159.98
Office Supplies,Labels,14.8,2,30,29.6
Furniture,Bookcases,-30.24,5,514,514.16
Technology,Phones,17.5,5,280,279.96
Technology,Phones,341.99,6,2736,2735.95
Technology,Phones,0.6,1,8,7.99
Technology,Accessories,10.4,2,64,63.98
Office Supplies,Art,6.16,2,70,70.37
Office Supplies,Storage,8.98,5,449,449.15
Office Supplies,Envelopes,5.09,3,11,11.07
Technology,Accessories,13.16,2,94,93.98
Furniture,Tables,-94.94,3,190,189.88
Office Supplies,Envelopes,51.66,2,105,105.42
Office Supplies,Binders,40.37,8,120,119.62
Furniture,Furnishings,81.84,4,256,255.76
Furniture,Chairs,18.12,2,242,241.57
Furniture,Furnishings,22.87,9,69,69.3
Office Supplies,Binders,-15.08,2,23,22.62
Office Supplies,Binders,-11.96,2,15,14.95
Furniture,Chairs,50.1,2,802,801.57
Office Supplies,Binders,-1.9,3,2,2.38
Office Supplies,Paper,11.89,1,33,32.79
Office Supplies,Binders,5.37,5,16,15.92
Office Supplies,Art,0.74,1,3,2.74
Office Supplies,Art,2.17,3,8,8.34
Office Supplies,Storage,11.68,3,47,46.74
Office Supplies,Binders,3177.47,5,6355,6354.95
Furniture,Furnishings,40.42,3,126,126.3
Technology,Accessories,12.17,2,38,38.04
Office Supplies,Art,0.72,3,7,7.15
Office Supplies,Art,1.79,3,7,6.63
Office Supplies,Art,1.71,2,6,5.88
Technology,Copiers,1379.98,5,3000,2999.95
Office Supplies,Storage,13.89,3,51,51.45
Office Supplies,Paper,5.38,2,12,11.96
Office Supplies,Storage,56.3,3,1126,1126.02
Technology,Accessories,5.29,1,18,18.39
Office Supplies,Storage,-25.91,2,130,129.57
Office Supplies,Binders,-21.17,9,14,14.11
Furniture,Tables,21.1,2,211,210.98
Technology,Phones,-12.41,3,55,55.18
Technology,Accessories,27.17,2,66,66.26
Office Supplies,Fasteners,10.43,5,22,22.2
Furniture,Chairs,42.75,3,684,683.95
Furniture,Furnishings,5.14,3,46,45.7
Office Supplies,Storage,-7.27,3,36,36.34
Office Supplies,Supplies,-149.91,1,666,666.25
Office Supplies,Envelopes,19.69,6,53,52.51
Furniture,Chairs,11.92,1,191,190.72
Furniture,Furnishings,2.4,3,48,47.94
Technology,Phones,274.39,5,980,979.95
Office Supplies,Binders,11.38,5,23,22.75
Office Supplies,Storage,1.47,2,17,16.77
Office Supplies,Binders,-68.19,7,43,42.62
Office Supplies,Binders,3.36,4,11,10.75
Office Supplies,Appliances,41.29,3,153,152.94
Furniture,Chairs,70.98,4,284,283.92
Technology,Accessories,206.32,6,469,468.9
Technology,Phones,38.09,8,381,380.86
Office Supplies,Storage,-145.52,9,647,646.78
Technology,Accessories,7.26,2,58,58.11
Technology,Phones,6.3,1,101,100.79
Furniture,Furnishings,-84.29,4,66,66.11
Office Supplies,Binders,13.93,6,41,41.28
Office Supplies,Paper,6.41,2,13,13.36
Office Supplies,Storage,15.64,9,250,250.27
Office Supplies,Binders,-17.05,3,11,11.36
Office Supplies,Supplies,-1.74,5,9,8.72
Furniture,Chairs,0,2,1122,1121.57
Furniture,Furnishings,6.04,1,35,34.5
Office Supplies,Fasteners,2.57,3,11,10.82
Office Supplies,Storage,310.99,2,1296,1295.78
Office Supplies,Art,3.4,4,19,19.46
Office Supplies,Labels,9.94,2,21,20.7
Furniture,Tables,-217.05,4,1336,1335.68
Office Supplies,Paper,15.55,5,32,32.4
Furniture,Furnishings,16.61,3,43,42.6
Office Supplies,Binders,27.32,7,84,84.06
Office Supplies,Appliances,1.3,5,13,13
Furniture,Furnishings,3.77,3,13,13.13
Office Supplies,Fasteners,0,2,4,3.96
Office Supplies,Labels,1.2,1,3,2.61
Technology,Phones,46.8,3,374,374.38
Office Supplies,Paper,45,8,92,91.84
Office Supplies,Binders,27.37,7,81,81.09
Office Supplies,Paper,9.33,3,19,19.44
Furniture,Chairs,0,3,451,451.15
Office Supplies,Labels,34.78,7,72,72.45
Office Supplies,Fasteners,6.42,4,14,13.96
Office Supplies,Binders,11.23,7,33,33.26
Technology,Phones,4.01,3,15,14.85
Office Supplies,Art,2.38,3,9,8.82
Office Supplies,Paper,78.75,14,161,160.72
Office Supplies,Paper,9.76,4,20,19.92
Office Supplies,Supplies,2.19,2,7,7.3
Office Supplies,Storage,8.71,2,70,69.71
Furniture,Furnishings,-5.71,1,9,8.79
Office Supplies,Supplies,1.55,4,52,51.52
Technology,Phones,52.92,3,470,470.38
Technology,Phones,9.24,2,106,105.58
Office Supplies,Appliances,3.5,3,31,31.15
Office Supplies,Binders,-4.75,7,7,6.78
Technology,Phones,30.48,4,406,406.37
Furniture,Chairs,4.97,1,71,70.98
Office Supplies,Labels,144.52,3,295,294.93
Technology,Phones,-20.14,2,85,84.78
Office Supplies,Paper,7.26,4,21,20.74
Office Supplies,Binders,-12.9,3,17,16.82
Office Supplies,Paper,3.63,2,10,10.37
Office Supplies,Art,1.17,2,9,9.34
Technology,Accessories,9.75,3,31,31.2
Office Supplies,Appliances,22.07,2,76,76.12
Technology,Copiers,434.99,3,1200,1199.98
Technology,Phones,55.74,5,446,445.96
Furniture,Furnishings,91.77,8,328,327.76
Office Supplies,Supplies,1.02,2,12,11.63
Technology,Phones,-28.8,3,144,143.98
Technology,Phones,-115.35,4,494,494.38
Office Supplies,Supplies,0.73,2,6,5.84
Office Supplies,Storage,17.85,1,143,142.78
Furniture,Furnishings,5.14,3,46,45.7
Office Supplies,Binders,-5.53,3,7,7.22
Office Supplies,Binders,-31.67,4,43,43.19
Office Supplies,Paper,47.82,3,132,131.9
Office Supplies,Binders,-2.63,2,3,3.28
Office Supplies,Art,2.38,9,21,21.17
Technology,Phones,-10.12,2,55,55.19
Technology,Phones,41.58,3,370,369.58
Office Supplies,Labels,5.7,4,16,15.71
Office Supplies,Paper,2.64,2,8,8.45
Technology,Phones,-157.94,9,729,728.95
Technology,Phones,15.99,10,120,119.94
